MENU_ITEM_NAME,AVERAGE_ITEM_PRICE,ITEM_QUANTITY,ITEM_NET_AMOUNT
Creature Comforts Tropicalia,5.94,8587.00,49395.42
Michelob Ultra,4.73,8225.00,37676.42
All American Pub Burger 6oz,14.55,8011.00,108129.83
Wing Basket,15.99,6652.00,99987.86
Titos Vodka,8.32,6685.00,53577.54
10 Chicken Wings,16.55,5982.00,94073.24
Chicken Tenders,14.65,4684.00,63482.70
Miller Lite,4.64,4479.00,19927.55
Sierra Nevada Hazy Little Thing,4.93,4452.00,20986.11
Guinness Draught,6.68,4414.00,28584.38
Bud Light btl,4.00,4177.00,16457.68
Coke,3.50,4131.00,14305.03
Crispy Chicken Sandwich,14.26,3816.00,50358.61
Pretzels,9.16,3729.00,31414.82
Hot Honey Pepperoni Pizza,14.43,3696.00,50183.45
Tap Out Margarita,8.86,3704.00,31548.19
Yuengling Lager,4.63,3645.00,16202.26
Side Crinkle Cut French Fries,3.81,3489.00,12175.07
Jameson Irish Whiskey,8.27,3932.00,29313.26
6 Chicken Wings,11.04,3198.00,33871.86
Cigar City Jai Alai IPA,6.67,3185.00,20721.42
Diet Coke,3.50,3108.00,10748.04
Sweetwater 420 Extra Pale Ale,6.27,3067.00,18919.32
Fish & Chips,16.32,3051.00,47884.60
Creature Comforts Classic City Lager,5.75,2854.00,15928.84
Caesar Salad w Chicken,11.70,2810.00,30588.02
Brisket Grilled Cheese,14.69,2803.00,37562.00
Blue Moon Belgian White,6.55,2716.00,17479.01
Lunazul Blanco Tequila,6.58,2874.00,16140.07
Monday Night Taco Tuesday,5.42,2553.00,13447.10
Chicken Club Wrap,13.22,2553.00,30112.17
Stella Artois,5.78,2545.00,14397.27
Sweet Tea,3.20,2467.00,7806.88
Asian BBQ Crispy Chicken Sandwich,15.18,2487.00,36792.07
Modelo Especial,5.65,2486.00,13823.30
Boom Boom Shrimp,14.56,2380.00,33502.47
Bells Two Hearted IPA,6.57,2322.00,14925.69
Sweet Heat BBQ Bacon Burger 6oz,16.05,2302.00,34864.57
Cheese Curds,11.10,2114.00,22755.67
2 Steak Tacos,14.14,2078.00,26048.33
Miller Lite btl,4.15,2000.00,8204.39
